Name;Genre;Platform;Publisher;Year
Wii Sports;Sports;Wii;Nintendo;2006
Super Mario Bros.;Platform;NES;Nintendo;1985
Mario Kart Wii;Racing;Wii;Nintendo;2008
Tetris;Puzzle;GB;Nintendo;1989
Mario Kart DS;Racing;DS;Nintendo;2005
Grand Theft Auto V;Action;PS3;Take-Two Interactive;2013
Grand Theft Auto: San Andreas;Action;PS2;Take-Two Interactive;2004
Super Mario World;Platform;SNES;Nintendo;1990
Super Mario Bros. 3;Platform;NES;Nintendo;1988
Grand Theft Auto: Vice City;Action;PS2;Take-Two Interactive;2002
Gran Turismo 3: A-Spec;Racing;PS2;Sony Computer Entertainment;2001
Call of Duty: Modern Warfare 3;Shooter;X360;Activision;2011
Call of Duty: Black Ops;Shooter;X360;Activision;2010
Call of Duty: Black Ops II;Shooter;X360;Activision;2012
Grand Theft Auto III;Action;PS2;Take-Two Interactive;2001
Super Smash Bros. Brawl;Fighting;Wii;Nintendo;2008
Animal Crossing: Wild World;Simulation;DS;Nintendo;2005
Mario Kart 7;Racing;3DS;Nintendo;2011
Halo 3;Shooter;X360;Microsoft Game Studios;2007
Super Mario 64;Platform;N64;Nintendo;1996
Gran Turismo 4;Racing;PS2;Sony Computer Entertainment;2004
Grand Theft Auto IV;Action;X360;Take-Two Interactive;2008
Just Dance 3;Misc;Wii;Ubisoft;2011
Call of Duty: Ghosts;Shooter;X360;Activision;2013
Halo: Reach;Shooter;X360;Microsoft Game Studios;2010
Halo 4;Shooter;X360;Microsoft Game Studios;2012
Call of Duty 4: Modern Warfare;Shooter;X360;Activision;2007
FIFA 16;Sports;PS4;Electronic Arts;2015
Halo 2;Shooter;XB;Microsoft Game Studios;2004
Mario Party 8;Misc;Wii;Nintendo;2007
FIFA Soccer 13;Action;PS3;Electronic Arts;2012
The Sims 3;Simulation;PC;Electronic Arts;2009
GoldenEye 007;Shooter;N64;Nintendo;1997
Final Fantasy X;Role-Playing;PS2;Sony Computer Entertainment;2001
Pac-Man;Puzzle;2600;Atari;1982
Star Wars Battlefront (2015);Shooter;PS4;Electronic Arts;2015
Call of Duty: World at War;Shooter;X360;Activision;2008
Battlefield 3;Shooter;X360;Electronic Arts;2011
Call of Duty: Black Ops 3;Shooter;XOne;Activision;2015
Need for Speed Underground;Racing;PS2;Electronic Arts;2003
Tekken 3;Fighting;PS;Sony Computer Entertainment;1998
Fallout 4;Role-Playing;PS4;Bethesda Softworks;2015
FIFA 14;Sports;PS3;Electronic Arts;2013
Need for Speed Underground 2;Racing;PS2;Electronic Arts;2004
Medal of Honor: Frontline;Shooter;PS2;Electronic Arts;2002
Uncharted 3: Drake's Deception;Action;PS3;Sony Computer Entertainment;2011
Crash Bandicoot;Platform;PS;Sony Computer Entertainment;1996
Gears of War 2;Shooter;X360;Microsoft Game Studios;2008
Uncharted 2: Among Thieves;Action;PS3;Sony Computer Entertainment;2009
FIFA 12;Sports;PS3;Electronic Arts;2011
Big Brain Academy;Misc;DS;Nintendo;2005
Red Dead Redemption;Action;PS3;Take-Two Interactive;2010
FIFA 15;Sports;PS4;Electronic Arts;2014
Donkey Kong Country Returns;Platform;Wii;Nintendo;2010
The Elder Scrolls V: Skyrim;Role-Playing;PS3;Bethesda Softworks;2011
The Legend of Zelda;Action;NES;Nintendo;1986
Assassin's Creed III;Action;PS3;Ubisoft;2012
Halo: Combat Evolved;Shooter;XB;Microsoft Game Studios;2001
Pokémon Emerald Version;Role-Playing;GBA;Nintendo;2004
World of Warcraft;Role-Playing;PC;Activision;2004
Gears of War;Shooter;X360;Microsoft Game Studios;2006
Final Fantasy XII;Role-Playing;PS2;Square Enix;2006
Resident Evil 2;Action;PS;Virgin Interactive;1998
Destiny;Shooter;PS4;Activision;2014
Assassin's Creed;Adventure;X360;Ubisoft;2007
Forza Motorsport 3;Racing;X360;Microsoft Game Studios;2009
Diablo III;Role-Playing;PC;Activision;2012
Fable III;Role-Playing;X360;Microsoft Game Studios;2010
Microsoft Flight Simulator;Simulation;PC;Microsoft Game Studios;1996
Guitar Hero II;Misc;PS2;RedOctane;2006
Tony Hawk's Pro Skater;Sports;PS;Activision;1999
FIFA 17;Sports;PS4;Electronic Arts;2016
Tomb Raider;Action;PS;Eidos Interactive;1996
The Elder Scrolls IV: Oblivion;Role-Playing;X360;Take-Two Interactive;2006
Need for Speed: Most Wanted;Racing;PS2;Electronic Arts;2005
Far Cry 4;Shooter;PS4;Ubisoft;2014
Left 4 Dead 2;Shooter;X360;Electronic Arts;2009
NBA 2K16;Sports;PS4;Take-Two Interactive;2015
Resident Evil 4;Action;PS2;Capcom;2005
Tom Clancy's The Division;Shooter;PS4;Ubisoft;2016
Star Wars: Battlefront;Shooter;PS2;LucasArts;2004
Doom II: Hell on Earth;Shooter;PC;Virgin Interactive;1994
Far Cry 3;Shooter;PS3;Ubisoft;2012
Monster Hunter 4;Role-Playing;3DS;Capcom;2013
Borderlands;Shooter;X360;Take-Two Interactive;2009
Max Payne;Shooter;PS2;Take-Two Interactive;2001
L.A. Noire;Adventure;PS3;Take-Two Interactive;2011
Mass Effect 2;Role-Playing;X360;Electronic Arts;2010
Saints Row 2;Action;X360;THQ;2008
Rayman;Platform;PS;Ubisoft;1995
Metroid;Action;NES;Nintendo;1986
Ice Hockey;Sports;NES;Nintendo;1988
Pro evolution soccer 2011;Sports;PS3;Konami Digital Entertainment;2010
Dead Island;Action;X360;Deep Silver;2011
Tomb Raider II;Action;PC;Eidos Interactive;1997
God of War: Ascension;Action;PS3;Sony Computer Entertainment;2013
BioShock 2;Shooter;X360;Take-Two Interactive;2010
Portal 2;Shooter;X360;Valve Software;2011
Dead Space;Action;PS3;Electronic Arts;2008
Forza Horizon;Racing;X360;Microsoft Game Studios;2012
Dragon Age: Inquisition;Role-Playing;PS4;Electronic Arts;2014
Just Cause 3;Action;PS4;Square Enix;2015
BioShock Infinite;Shooter;PS3;Take-Two Interactive;2013
Hitman: Absolution;Action;X360;Square Enix;2012
Crackdown;Shooter;X360;Microsoft Game Studios;2007
Saints Row IV;Action;X360;Deep Silver;2013
Max Payne 3;Shooter;X360;Take-Two Interactive;2012
Viva Pinata;Simulation;X360;Microsoft Game Studios;2006
